razao_social,id,ticket,atendente,nome_fantasia,cnpj,cliente,status,data_abertura,card,tipo,titulo,meu_duvida,Bug,melhoria,churn,funcionalidade,impeditivo,sistema,descricao,chamado,hora,data_fechamento,hora_fechamento
Hoist Locacoes,1,1001,Sem Nome,NULL,50140116000102.0,NULL,fechado,2024-08-06,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,kitcomposicao,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JMR Locacoes de Equipamentos,2,1002,Sem Nome,NULL,23230454000154.0,NULL,fechado,2024-08-22,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Parcelamento CAP e do CAR,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JMR Locacoes de Equipamentos,3,1003,Sem Nome,NULL,23230454000154.0,NULL,fechado,2024-08-29,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Preservacao da sequencia numerica do sistema anterior,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BBZIN ARTIGOS PARA BEBES LTDA,4,1004,Sem Nome,NULL,4686709000143.0,1.0,fechado,2024-08-30,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Reserva de locacao,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LM Locacoes e Servicos Ltda,5,1005,Sem Nome,NULL,51671401000104.0,NULL,fechado,2024-08-30,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Emissao de nota fiscal,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LM Locacoes e Servicos Ltda,6,1006,Sem Nome,NULL,51671401000104.0,NULL,fechado,2024-08-30,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Integracao bancaria,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Accesslift (ACESS LIFT LOCACAO),7,1007,Sem Nome,NULL,20504105000195.0,NULL,fechado,2024-09-02,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Emissao de nota fiscal,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BBZIN ARTIGOS PARA BEBES LTDA,8,1008,Sem Nome,NULL,4686709000143.0,1.0,fechado,2024-09-02,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Campo 'vendedor' no pedido,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Elcio Jose Costenaro,9,1009,Sem Nome,NULL,46077358000113.0,NULL,fechado,2024-09-03,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Controle de manutencao,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Elcio Jose Costenaro,10,1010,Sem Nome,NULL,46077358000113.0,NULL,fechado,2024-09-03,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Solicitacao de compra,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ObaObra Locacao,11,1011,Sem Nome,NULL,5984212000174.0,NULL,fechado,2024-09-04,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Checklist,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ObaObra Locacao,12,1012,Sem Nome,NULL,5984212000174.0,NULL,fechado,2024-09-04,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,"Ficha produto, com historico mant e valores",NULL,NULL,NULL,NULL,NULL,NULL,NULL
ObaObra Locacao,13,1013,Sem Nome,NULL,5984212000174.0,NULL,fechado,2024-09-04,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Funil de vendas,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LOCABEL  LOCADORA BETINENSE DE EQUIPAMENTOS PARA CONSTRUCAO LTDA,14,1014,Sem Nome,NULL,24995867000192.0,NULL,fechado,2024-09-05,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Integracao bancaria,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LOCABEL  LOCADORA BETINENSE DE EQUIPAMENTOS PARA CONSTRUCAO LTDA,15,1015,Sem Nome,NULL,24995867000192.0,NULL,fechado,2024-09-05,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Integracao com Whatsapp,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LOCMAC,16,1016,Sem Nome,NULL,33667421000120.0,NULL,fechado,2024-09-09,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Controle de manutencao,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LOCMAC,17,1017,Sem Nome,NULL,33667421000120.0,NULL,fechado,2024-09-09,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Notificacao de vencimento,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4T Locadora  Cassiano dos Santos,18,1018,Sem Nome,NULL,40351990000127.0,1.0,fechado,2024-09-19,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Controle de manutencao,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RODRENTALS ALUGUEL DE EQUIPAMENTOS LTDA,19,1019,Sem Nome,NULL,57411875000101.0,1.0,fechado,2024-10-01,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Controle de manutencao,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RODRENTALS ALUGUEL DE EQUIPAMENTOS LTDA,20,1020,Sem Nome,NULL,57411875000101.0,1.0,fechado,2024-10-01,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Notificacao de vencimento,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RODRENTALS ALUGUEL DE EQUIPAMENTOS LTDA,21,1021,Sem Nome,NULL,57411875000101.0,1.0,fechado,2024-10-01,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Controle de manutencao,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RODRENTALS ALUGUEL DE EQUIPAMENTOS LTDA,22,1022,Sem Nome,NULL,57411875000101.0,1.0,fechado,2024-10-01,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Renovacao automatica,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CACHOEIRA CRISTAL MT LTDA,23,1023,Sem Nome,NULL,28711131000104.0,NULL,fechado,2024-10-07,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,kitcomposicao,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CACHOEIRA CRISTAL MT LTDA,24,1024,Sem Nome,NULL,28711131000104.0,NULL,fechado,2024-10-07,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Parcelamento CAP e do CAR,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FERNANDA CRISTINA DE BORBA,25,1025,Sem Nome,NULL,20040270000133.0,NULL,fechado,2024-10-09,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,kitcomposicao,NULL,NULL,NULL,NULL,NULL,NULL,NULL
HSMAQ LOCACAO DE EMPILHADEIRAS LTDA,26,1026,Sem Nome,NULL,45651473000197.0,NULL,fechado,2024-10-09,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Controle de manutencao,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rv equipamentos,27,1027,Sem Nome,NULL,49124185000135.0,NULL,fechado,2024-10-09,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Nivel de acesso para os usuarios,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MACHINE ELEVATOR LTDA,28,1028,Sem Nome,NULL,28030792000166.0,NULL,fechado,2024-10-10,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Controle de manutencao,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MACHINE ELEVATOR LTDA,29,1029,Sem Nome,NULL,28030792000166.0,NULL,fechado,2024-10-10,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Emissao de nota fiscal,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MACHINE ELEVATOR LTDA,30,1030,Sem Nome,NULL,28030792000166.0,NULL,fechado,2024-10-10,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Integracao bancaria,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EAR Locacao,31,1031,Sem Nome,NULL,4675969000113.0,NULL,fechado,2024-10-15,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Deseja pagar para criar modelo de texto,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EAR Locacao,32,1032,Sem Nome,NULL,4675969000113.0,NULL,fechado,2024-10-15,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Emissao de nota fiscal,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LOCMAXX LOCACAO DE EQUIPAMENTOS PARA CONSTRUCAO CIVIL LTDA,33,1033,Sem Nome,NULL,18601256000110.0,NULL,fechado,2024-10-16,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Integracao bancaria,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MRF LOCACAO E COMERCIO DE PRODUTOS ELETRONICOS LTDA,34,1034,Sem Nome,NULL,26383839000140.0,NULL,fechado,2024-10-16,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Exibir mais um endereco quando faturar,NULL,NULL,NULL,NULL,NULL,NULL,NULL
COSTA OESTE LOCACOES E SERVICOS LTDA,35,1035,Sem Nome,NULL,53571232000166.0,NULL,fechado,2024-10-17,NULL,funcionalidade,NULL,NULL,NULL,NULL,NULL,Controle de manutencao,NULL,NULL,NULL,NULL,NULL,NULL,NULL
